Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/22/2022,ProShares Ultra QQQ,QLD,70.0161,67.4074,3.87005,2.6087,70900,4964141490
03/21/2022,ProShares Ultra QQQ,QLD,67.4074,67.8112,-0.59548,-0.4038,70100,4725258740
03/18/2022,ProShares Ultra QQQ,QLD,67.8112,65.0426,4.25659,2.7686,70150,4756955680
03/17/2022,ProShares Ultra QQQ,QLD,65.0426,63.5736,2.31071,1.469,70100,4559486260
03/16/2022,ProShares Ultra QQQ,QLD,63.5736,59.1937,7.39927,4.3799,69450,4415186520
03/15/2022,ProShares Ultra QQQ,QLD,59.1937,55.6804,6.30976,3.5133,69250,4099163725
03/14/2022,ProShares Ultra QQQ,QLD,55.6804,57.8943,-3.82404,-2.2139,69150,3850299660
03/11/2022,ProShares Ultra QQQ,QLD,57.8943,60.4694,-4.25852,-2.5751,69150,4003390845
03/10/2022,ProShares Ultra QQQ,QLD,60.4694,61.8273,-2.19628,-1.3579,69300,4190529420
03/09/2022,ProShares Ultra QQQ,QLD,61.8273,57.7048,7.14412,4.1225,69200,4278449160
03/08/2022,ProShares Ultra QQQ,QLD,57.7048,58.1635,-0.78864,-0.4587,69300,3998942640
03/07/2022,ProShares Ultra QQQ,QLD,58.1635,62.8798,-7.50050,-4.7163,69400,4036546900
03/04/2022,ProShares Ultra QQQ,QLD,62.8798,64.701,-2.81479,-1.8212,69300,4357570140
03/03/2022,ProShares Ultra QQQ,QLD,64.701,66.6441,-2.91564,-1.9431,69200,4477309200
03/02/2022,ProShares Ultra QQQ,QLD,66.6441,64.4565,3.39392,2.1876,69200,4611771720
03/01/2022,ProShares Ultra QQQ,QLD,64.4565,66.6163,-3.24215,-2.1598,68950,4444275675
02/28/2022,ProShares Ultra QQQ,QLD,66.6163,66.1716,0.67204,0.4447,68950,4593193885
02/25/2022,ProShares Ultra QQQ,QLD,66.1716,64.2012,3.06910,1.9704,69050,4569148980
02/24/2022,ProShares Ultra QQQ,QLD,64.2012,60.0579,6.89884,4.1433,69050,4433092860
02/23/2022,ProShares Ultra QQQ,QLD,60.0579,63.3593,-5.21060,-3.3014,68950,4140992205
02/22/2022,ProShares Ultra QQQ,QLD,63.3593,64.6481,-1.99356,-1.2888,68800,4359119840
02/18/2022,ProShares Ultra QQQ,QLD,64.6481,66.1661,-2.29423,-1.518,68800,4447789280
02/17/2022,ProShares Ultra QQQ,QLD,66.1661,70.3296,-5.91998,-4.1635,69550,4601852255
02/16/2022,ProShares Ultra QQQ,QLD,70.3296,70.4625,-0.18861,-0.1329,69600,4894940160
02/15/2022,ProShares Ultra QQQ,QLD,70.4625,67.1472,4.93736,3.3153,69600,4904190000
02/14/2022,ProShares Ultra QQQ,QLD,67.1472,67.0052,0.21192,0.142,69450,4663373040
02/11/2022,ProShares Ultra QQQ,QLD,67.0052,71.4032,-6.15939,-4.398,69900,4683663480
02/10/2022,ProShares Ultra QQQ,QLD,71.4032,74.8905,-4.65653,-3.4873,69850,4987513520
02/09/2022,ProShares Ultra QQQ,QLD,74.8905,71.8711,4.20113,3.0194,67850,5081320425
02/08/2022,ProShares Ultra QQQ,QLD,71.8711,70.1862,2.40061,1.6849,67800,4872860580
02/07/2022,ProShares Ultra QQQ,QLD,70.1862,71.3884,-1.68403,-1.2022,67700,4751605740
02/04/2022,ProShares Ultra QQQ,QLD,71.3884,69.5072,2.70648,1.8812,67600,4825855840
02/03/2022,ProShares Ultra QQQ,QLD,69.5072,75.8956,-8.41735,-6.3884,67350,4681309920
02/02/2022,ProShares Ultra QQQ,QLD,75.8956,74.7038,1.59537,1.1918,67150,5096389540
02/01/2022,ProShares Ultra QQQ,QLD,74.7038,73.8153,1.20368,0.8885,66750,4986478650
01/31/2022,ProShares Ultra QQQ,QLD,73.8153,69.2725,6.55787,4.5428,66750,4927171275
01/28/2022,ProShares Ultra QQQ,QLD,69.2725,65.074,6.45189,4.1985,67600,4682821000
01/27/2022,ProShares Ultra QQQ,QLD,65.074,66.664,-2.38510,-1.59,67550,4395748700
01/26/2022,ProShares Ultra QQQ,QLD,66.664,66.4688,0.29367,0.1952,68350,4556484400
01/25/2022,ProShares Ultra QQQ,QLD,66.4688,69.9377,-4.95999,-3.4689,68350,4543142480
01/24/2022,ProShares Ultra QQQ,QLD,69.9377,69.2621,0.97543,0.6756,72200,5049501940
01/21/2022,ProShares Ultra QQQ,QLD,69.2621,73.3002,-5.50899,-4.0381,72550,5024965355
01/20/2022,ProShares Ultra QQQ,QLD,73.3002,75.3163,-2.67684,-2.0161,72200,5292274440
01/19/2022,ProShares Ultra QQQ,QLD,75.3163,76.9753,-2.15524,-1.659,72200,5437836860
01/18/2022,ProShares Ultra QQQ,QLD,76.9753,81.1426,-5.13577,-4.1673,72950,5615348135
01/14/2022,ProShares Ultra QQQ,QLD,81.1426,79.9642,1.47366,1.1784,73100,5931524060
01/13/2022,ProShares Ultra QQQ,QLD,79.9642,84.3046,-5.14847,-4.3404,73300,5861375860
01/12/2022,ProShares Ultra QQQ,QLD,84.3046,83.6658,0.76351,0.6388,73100,6162666260
01/11/2022,ProShares Ultra QQQ,QLD,83.6658,81.2795,2.93592,2.3863,73100,6115969980
