Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/12/2022,ProShares UltraShort S&P500,SDS,41.9263,42.828,-2.10540,-0.9017,22656.25,949892692.4487
09/09/2022,ProShares UltraShort S&P500,SDS,42.828,44.1733,-3.04550,-1.3453,22506.25,963897632.172
09/08/2022,ProShares UltraShort S&P500,SDS,44.1733,44.7558,-1.30151,-0.5825,21956.25,969879973.9517
09/07/2022,ProShares UltraShort S&P500,SDS,44.7558,46.4538,-3.65524,-1.698,21756.25,973718328.9942
09/06/2022,ProShares UltraShort S&P500,SDS,46.4538,46.0758,0.82039,0.378,21356.25,992078919.7962
09/02/2022,ProShares UltraShort S&P500,SDS,46.0758,45.0982,2.16771,0.9776,20606.25,949449407.6742
09/01/2022,ProShares UltraShort S&P500,SDS,45.0982,45.3594,-0.57585,-0.2612,21006.25,947344018.6518
08/31/2022,ProShares UltraShort S&P500,SDS,45.3594,44.6701,1.54309,0.6893,21006.25,952830850.8906
08/30/2022,ProShares UltraShort S&P500,SDS,44.6701,43.7062,2.20541,0.9639,21256.25,949518768.4549
08/29/2022,ProShares UltraShort S&P500,SDS,43.7062,43.1307,1.33432,0.5755,21806.25,953068280.0438
08/26/2022,ProShares UltraShort S&P500,SDS,43.1307,40.3997,6.75995,2.731,21656.25,934049178.7443
08/25/2022,ProShares UltraShort S&P500,SDS,40.3997,41.5548,-2.77970,-1.1551,21356.25,862786052.7253
08/24/2022,ProShares UltraShort S&P500,SDS,41.5548,41.7939,-0.57209,-0.2391,22006.25,914465275.9452
08/23/2022,ProShares UltraShort S&P500,SDS,41.7939,41.6002,0.46562,0.1937,22306.25,932265140.0811
08/22/2022,ProShares UltraShort S&P500,SDS,41.6002,39.898,4.26638,1.7022,22206.25,923784399.6498
08/19/2022,ProShares UltraShort S&P500,SDS,39.898,38.8857,2.60327,1.0123,21456.25,856061422.602
08/18/2022,ProShares UltraShort S&P500,SDS,38.8857,39.0585,-0.44241,-0.1728,21656.25,842118401.7393
08/17/2022,ProShares UltraShort S&P500,SDS,39.0585,38.5088,1.42747,0.5497,21706.25,847813526.5665
08/16/2022,ProShares UltraShort S&P500,SDS,38.5088,38.6514,-0.36894,-0.1426,21456.25,826254401.4912
08/15/2022,ProShares UltraShort S&P500,SDS,38.6514,38.9575,-0.78573,-0.3061,20856.25,806123222.5986
