Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/08/2022,ProShares Ultra Dow30,DDM,64.4112,65.1507,-1.13506,-0.7395,5900,380026080
03/07/2022,ProShares Ultra Dow30,DDM,65.1507,68.4028,-4.75434,-3.2521,5900,384389130
03/04/2022,ProShares Ultra Dow30,DDM,68.4028,69.1277,-1.04864,-0.7249,5900,403576520
03/03/2022,ProShares Ultra Dow30,DDM,69.1277,69.5315,-0.58074,-0.4038,5900,407853430
03/02/2022,ProShares Ultra Dow30,DDM,69.5315,67.1355,3.56890,2.396,5900,410235850
03/01/2022,ProShares Ultra Dow30,DDM,67.1355,69.5439,-3.46314,-2.4084,5950,399456225
02/28/2022,ProShares Ultra Dow30,DDM,69.5439,70.1862,-0.91514,-0.6423,5950,413786205
02/25/2022,ProShares Ultra Dow30,DDM,70.1862,66.8184,5.04023,3.3678,5950,417607890
02/24/2022,ProShares Ultra Dow30,DDM,66.8184,66.4368,0.57438,0.3816,5950,397569480
02/23/2022,ProShares Ultra Dow30,DDM,66.4368,68.3289,-2.76911,-1.8921,5950,395298960
02/22/2022,ProShares Ultra Dow30,DDM,68.3289,70.3325,-2.84875,-2.0036,5950,406556955
02/18/2022,ProShares Ultra Dow30,DDM,70.3325,71.2715,-1.31750,-0.939,5950,418478375
02/17/2022,ProShares Ultra Dow30,DDM,71.2715,73.8531,-3.49559,-2.5816,5950,424065425
02/16/2022,ProShares Ultra Dow30,DDM,73.8531,74.071,-0.29418,-0.2179,5950,439425945
02/15/2022,ProShares Ultra Dow30,DDM,74.071,72.2671,2.49616,1.8039,5950,440722450
02/14/2022,ProShares Ultra Dow30,DDM,72.2671,72.936,-0.91711,-0.6689,5950,429989245
02/11/2022,ProShares Ultra Dow30,DDM,72.936,75.0944,-2.87425,-2.1584,5950,433969200
02/10/2022,ProShares Ultra Dow30,DDM,75.0944,77.3176,-2.87541,-2.2232,5950,446811680
02/09/2022,ProShares Ultra Dow30,DDM,77.3176,76.0113,1.71856,1.3063,5950,460039720
02/08/2022,ProShares Ultra Dow30,DDM,76.0113,74.4394,2.11165,1.5719,5950,452267235
02/07/2022,ProShares Ultra Dow30,DDM,74.4394,74.443,-0.00484,-0.0036,5900,439192460
02/04/2022,ProShares Ultra Dow30,DDM,74.443,74.5132,-0.09421,-0.0702,5900,439213700
02/03/2022,ProShares Ultra Dow30,DDM,74.5132,76.7489,-2.91301,-2.2357,5900,439627880
02/02/2022,ProShares Ultra Dow30,DDM,76.7489,75.7985,1.25385,0.9504,5950,456655955
02/01/2022,ProShares Ultra Dow30,DDM,75.7985,74.636,1.55756,1.1625,5900,447211150
01/31/2022,ProShares Ultra Dow30,DDM,74.636,72.94,2.32520,1.696,5850,436620600
01/28/2022,ProShares Ultra Dow30,DDM,72.94,70.6145,3.29323,2.3255,5900,430346000
01/27/2022,ProShares Ultra Dow30,DDM,70.6145,70.6454,-0.04374,-0.0309,6000,423687000
01/26/2022,ProShares Ultra Dow30,DDM,70.6454,71.1938,-0.77029,-0.5484,6000,423872400
01/25/2022,ProShares Ultra Dow30,DDM,71.1938,71.4801,-0.40053,-0.2863,6050,430722490
01/24/2022,ProShares Ultra Dow30,DDM,71.4801,71.0611,0.58963,0.419,6050,432454605
01/21/2022,ProShares Ultra Dow30,DDM,71.0611,72.9647,-2.60893,-1.9036,6100,433472710
01/20/2022,ProShares Ultra Dow30,DDM,72.9647,74.2726,-1.76095,-1.3079,6150,448732905
01/19/2022,ProShares Ultra Dow30,DDM,74.2726,75.7076,-1.89545,-1.435,6150,456776490
01/18/2022,ProShares Ultra Dow30,DDM,75.7076,78.0748,-3.03196,-2.3672,6100,461816360
01/14/2022,ProShares Ultra Dow30,DDM,78.0748,78.9614,-1.12283,-0.8866,6100,476256280
01/13/2022,ProShares Ultra Dow30,DDM,78.9614,79.7457,-0.98350,-0.7843,6150,485612610
01/12/2022,ProShares Ultra Dow30,DDM,79.7457,79.5815,0.20633,0.1642,6150,490436055
01/11/2022,ProShares Ultra Dow30,DDM,79.5815,78.7886,1.00636,0.7929,6200,493405300
